,country,match
0,Afghanistan,Afghanistan
1,Algeria,Algeria
2,Argentina,Argentina
3,Armenia,Armenia
4,Australasia,Australia
5,Australia,Australia
6,Austria,Austria
7,Azerbaijan,Azerbaijan
8,Bahamas,
9,Bahrain,Bahrain
10,Barbados,Barbados
11,Belarus,Belarus
12,Belgium,Belgium
13,Bermuda,
14,Bohemia,
15,Botswana,Botswana
16,Brazil,Brazil
17,Bulgaria,Bulgaria
18,Burkina Faso,Burkina Faso
19,Burundi,Burundi
20,Cameroon,Cameroon
21,Canada,Canada
22,Chile,Chile
23,Chinese Taipei,Chile
24,Colombia,Colombia
25,Costa Rica,Costa Rica
26,Croatia,Croatia
27,Cuba,Cuba
28,Cyprus,Cyprus
29,Czech Republic,Czech Republic
30,Czechoslovakia,Czechoslovakia
31,C̫te d'Ivoire,Cote d'Ivoire
32,Democratic People's Republic of Korea,Republic of Korea
33,Denmark,Denmark
34,Djibouti,Djibouti
35,Dominican Republic,Dominica
36,Ecuador,Ecuador
37,Egypt,Egypt
38,Eritrea,
39,Estonia,Estonia
40,Ethiopia,Ethiopia
41,Federal Republic of Germany,Germany
42,Fiji,
43,Finland,Finland
44,France,France
45,Gabon,Gabon
46,Georgia,Georgia
47,German Democratic Republic (Germany),Germany
48,Germany,Germany
49,Ghana,Ghana
50,Great Britain,
51,Greece,Greece
52,Grenada,
53,Guatemala,Guatemala
54,Guyana,
55,Haiti,Haiti
56,"Hong Kong, China",China
57,Hungary,Hungary
58,Iceland,Iceland
59,Independent Olympic Athletes,
60,India,India
61,Indonesia,Indonesia
62,Iraq,Iraq
63,Ireland,Ireland
64,Islamic Republic of Iran,Iran (Islamic Republic of)
65,Israel,Israel
66,Italy,Italy
67,Jamaica,Jamaica
68,Japan,Japan
69,Jordan,Jordan
70,Kazakhstan,Kazakhstan
71,Kenya,Kenya
72,Kosovo,
73,Kuwait,Kuwait
74,Kyrgyzstan,Kyrgyzstan
75,Latvia,Latvia
76,Lebanon,Lebanon
77,Liechtenstein,
78,Lithuania,Lithuania
79,Luxembourg,Luxembourg
80,MIX,
81,Malaysia,Malaysia
82,Mauritius,Mauritius
83,Mexico,Mexico
84,Monaco,
85,Mongolia,Mongolia
86,Montenegro,Montenegro
87,Morocco,Morocco
88,Mozambique,Mozambique
89,Namibia,Namibia
90,Netherlands,Netherlands
91,Netherlands Antilles,Netherlands
92,New Zealand,New Zealand
93,Niger,Niger
94,Nigeria,Niger
95,North Macedonia,TFYR of Macedonia
96,Norway,Norway
97,Olympic Athletes from Russia,
98,Pakistan,Pakistan
99,Panama,Panama
100,Paraguay,Paraguay
101,People's Republic of China,China
102,Peru,Peru
103,Philippines,Philippines
104,Poland,Poland
105,Portugal,Portugal
106,Puerto Rico,Puerto Rico
107,Qatar,Qatar
108,ROC,
109,Republic of Korea,Republic of Korea
110,Republic of Moldova,Republic of Moldova
111,Romania,Romania
112,Russian Federation,Russian Federation
113,Samoa,
114,San Marino,
115,Saudi Arabia,Saudi Arabia
116,Senegal,Senegal
117,Serbia,Serbia
118,Serbia and Montenegro,Montenegro
119,Singapore,Singapore
120,Slovakia,Slovakia
121,Slovenia,Slovenia
122,South Africa,South Africa
123,Soviet Union,
124,Spain,Spain
125,Sri Lanka,Sri Lanka
126,Sudan,Sudan (Former)
127,Suriname,
128,Sweden,Sweden
129,Switzerland,Switzerland
130,Syrian Arab Republic,Syrian Arab Republic
131,Tajikistan,Tajikistan
132,Thailand,Thailand
133,Togo,Togo
134,Tonga,
135,Trinidad and Tobago,Trinidad and Tobago
136,Tunisia,Tunisia
137,Turkey,Turkey
138,Turkmenistan,Turkmenistan
139,Uganda,Uganda
140,Ukraine,Ukraine
141,Unified Team,
142,United Arab Emirates,United Arab Emirates
143,United Arab Republic,Syrian Arab Republic
144,United Republic of Tanzania,Republic of Korea
145,United States of America,United States
146,Uruguay,Uruguay
147,Uzbekistan,Uzbekistan
148,Venezuela,Venezuela (Bolivarian Republic of)
149,Vietnam,
150,"Virgin Islands, US",
151,West Indies Federation,India
152,Yugoslavia,Former Yugoslavia
153,Zambia,Zambia
154,Zimbabwe,Zimbabwe
