games,summer,team,gold,silver,bronze,total,year
Athens 2004,1.0,Colombia,0,0,2,2,2004
Athens 2004,1.0,Venezuela,0,0,2,2,2004
Athens 2004,1.0,Nigeria,0,0,2,2,2004
Athens 2004,1.0,Eritrea,0,0,1,1,2004
Athens 2004,1.0,Mongolia,0,0,1,1,2004
Athens 2004,1.0,Trinidad and Tobago,0,0,1,1,2004
Athens 2004,1.0,Syrian Arab Republic,0,0,1,1,2004
Beijing 2008,1.0,People's Republic of China,48,22,30,100,2008
Beijing 2008,1.0,United States of America,36,39,37,112,2008
Beijing 2008,1.0,Russian Federation,24,13,23,60,2008
Beijing 2008,1.0,Great Britain,19,13,19,51,2008
Beijing 2008,1.0,Germany,16,11,14,41,2008
Beijing 2008,1.0,Australia,14,15,17,46,2008
Beijing 2008,1.0,Republic of Korea,13,11,8,32,2008
Beijing 2008,1.0,Japan,9,8,8,25,2008
Beijing 2008,1.0,Italy,8,9,10,27,2008
Beijing 2008,1.0,France,7,16,20,43,2008
Beijing 2008,1.0,Netherlands,7,5,4,16,2008
Beijing 2008,1.0,Ukraine,7,4,11,22,2008
Beijing 2008,1.0,Kenya,6,4,6,16,2008
Beijing 2008,1.0,Spain,5,11,3,19,2008
Beijing 2008,1.0,Jamaica,5,4,1,10,2008
Beijing 2008,1.0,Poland,4,5,2,11,2008
Beijing 2008,1.0,Ethiopia,4,2,1,7,2008
Beijing 2008,1.0,Romania,4,1,4,9,2008
Beijing 2008,1.0,Cuba,3,10,17,30,2008
Beijing 2008,1.0,Canada,3,9,8,20,2008
Beijing 2008,1.0,Hungary,3,5,2,10,2008
Beijing 2008,1.0,Norway,3,5,1,9,2008
Beijing 2008,1.0,Brazil,3,4,10,17,2008
Beijing 2008,1.0,Belarus,3,4,7,14,2008
Beijing 2008,1.0,Czech Republic,3,3,1,7,2008
Beijing 2008,1.0,Slovakia,3,3,0,6,2008
Beijing 2008,1.0,New Zealand,3,2,4,9,2008
Beijing 2008,1.0,Georgia,3,2,2,7,2008
Beijing 2008,1.0,Kazakhstan,2,3,4,9,2008
Beijing 2008,1.0,Denmark,2,2,3,7,2008
Beijing 2008,1.0,Thailand,2,2,2,6,2008
Beijing 2008,1.0,Democratic People's Republic of Korea,2,2,2,6,2008
Beijing 2008,1.0,Mongolia,2,2,0,4,2008
Beijing 2008,1.0,Switzerland,2,1,4,7,2008
Beijing 2008,1.0,Argentina,2,0,4,6,2008
Beijing 2008,1.0,Mexico,2,0,2,4,2008
Beijing 2008,1.0,Belgium,2,0,0,2,2008
Beijing 2008,1.0,Zimbabwe,1,3,0,4,2008
Beijing 2008,1.0,Slovenia,1,2,2,5,2008
Beijing 2008,1.0,Azerbaijan,1,1,4,6,2008
Beijing 2008,1.0,Indonesia,1,1,4,6,2008
Beijing 2008,1.0,Turkey,1,1,3,5,2008
Beijing 2008,1.0,Bulgaria,1,1,3,5,2008
Beijing 2008,1.0,Finland,1,1,2,4,2008
Beijing 2008,1.0,Chinese Taipei,1,1,2,4,2008
Beijing 2008,1.0,Latvia,1,1,1,3,2008
Beijing 2008,1.0,Estonia,1,1,0,2,2008
Beijing 2008,1.0,Portugal,1,1,0,2,2008
Beijing 2008,1.0,Dominican Republic,1,1,0,2,2008
Beijing 2008,1.0,Trinidad and Tobago,1,1,0,2,2008
Beijing 2008,1.0,India,1,0,2,3,2008
Beijing 2008,1.0,Islamic Republic of Iran,1,0,1,2,2008
Beijing 2008,1.0,Cameroon,1,0,0,1,2008
Beijing 2008,1.0,Tunisia,1,0,0,1,2008
Beijing 2008,1.0,Panama,1,0,0,1,2008
Beijing 2008,1.0,Sweden,0,4,1,5,2008
Beijing 2008,1.0,Lithuania,0,3,2,5,2008
Beijing 2008,1.0,Nigeria,0,2,3,5,2008
Beijing 2008,1.0,Croatia,0,2,3,5,2008
Beijing 2008,1.0,Colombia,0,2,1,3,2008
Beijing 2008,1.0,Greece,0,2,1,3,2008
Beijing 2008,1.0,Armenia,0,1,4,5,2008
Beijing 2008,1.0,Uzbekistan,0,1,3,4,2008
Beijing 2008,1.0,Austria,0,1,2,3,2008
Beijing 2008,1.0,Ireland,0,1,2,3,2008
Beijing 2008,1.0,Serbia,0,1,2,3,2008
Beijing 2008,1.0,Kyrgyzstan,0,1,2,3,2008
Beijing 2008,1.0,Algeria,0,1,1,2,2008
Beijing 2008,1.0,Bahamas,0,1,1,2,2008
Beijing 2008,1.0,Morocco,0,1,1,2,2008
Beijing 2008,1.0,Tajikistan,0,1,1,2,2008
Beijing 2008,1.0,Chile,0,1,0,1,2008
Beijing 2008,1.0,Malaysia,0,1,0,1,2008
Beijing 2008,1.0,Sudan,0,1,0,1,2008
Beijing 2008,1.0,Ecuador,0,1,0,1,2008
Beijing 2008,1.0,Vietnam,0,1,0,1,2008
Beijing 2008,1.0,Iceland,0,1,0,1,2008
Beijing 2008,1.0,Singapore,0,1,0,1,2008
Beijing 2008,1.0,South Africa,0,1,0,1,2008
Beijing 2008,1.0,Samoa,0,1,0,1,2008
Beijing 2008,1.0,Egypt,0,0,2,2,2008
Beijing 2008,1.0,Republic of Moldova,0,0,1,1,2008
Beijing 2008,1.0,Israel,0,0,1,1,2008
Beijing 2008,1.0,Mauritius,0,0,1,1,2008
Beijing 2008,1.0,Afghanistan,0,0,1,1,2008
Beijing 2008,1.0,Venezuela,0,0,1,1,2008
Beijing 2008,1.0,Togo,0,0,1,1,2008
Vancouver 2010,0.0,Canada,14,7,5,26,2010
Vancouver 2010,0.0,Germany,10,13,7,30,2010
Vancouver 2010,0.0,United States of America,9,15,13,37,2010
Vancouver 2010,0.0,Norway,9,8,6,23,2010
Vancouver 2010,0.0,Republic of Korea,6,6,2,14,2010
Vancouver 2010,0.0,Switzerland,6,0,3,9,2010
Vancouver 2010,0.0,People's Republic of China,5,2,4,11,2010
Vancouver 2010,0.0,Sweden,5,2,4,11,2010
Vancouver 2010,0.0,Austria,4,6,6,16,2010
Vancouver 2010,0.0,Netherlands,4,1,3,8,2010
Vancouver 2010,0.0,Russian Federation,3,5,7,15,2010
Vancouver 2010,0.0,France,2,3,6,11,2010
Vancouver 2010,0.0,Australia,2,1,0,3,2010
Vancouver 2010,0.0,Czech Republic,2,0,4,6,2010
Vancouver 2010,0.0,Poland,1,3,2,6,2010
Vancouver 2010,0.0,Italy,1,1,3,5,2010
Vancouver 2010,0.0,Slovakia,1,1,1,3,2010
Vancouver 2010,0.0,Belarus,1,1,1,3,2010
Vancouver 2010,0.0,Great Britain,1,0,0,1,2010
Vancouver 2010,0.0,Japan,0,3,2,5,2010
Vancouver 2010,0.0,Slovenia,0,2,1,3,2010
Vancouver 2010,0.0,Croatia,0,2,1,3,2010
Vancouver 2010,0.0,Latvia,0,2,0,2,2010
Vancouver 2010,0.0,Finland,0,1,4,5,2010
Vancouver 2010,0.0,Kazakhstan,0,1,0,1,2010
Vancouver 2010,0.0,Estonia,0,1,0,1,2010
London 2012,1.0,United States of America,46,28,30,104,2012
London 2012,1.0,People's Republic of China,38,31,22,91,2012
London 2012,1.0,Great Britain,29,17,19,65,2012
London 2012,1.0,Russian Federation,20,19,28,67,2012
London 2012,1.0,Republic of Korea,13,9,8,30,2012
London 2012,1.0,Germany,11,20,13,44,2012
London 2012,1.0,France,11,11,13,35,2012
London 2012,1.0,Australia,8,15,12,35,2012
London 2012,1.0,Italy,8,9,11,28,2012
London 2012,1.0,Hungary,8,4,6,18,2012
London 2012,1.0,Japan,7,14,17,38,2012
London 2012,1.0,Netherlands,6,6,8,20,2012
London 2012,1.0,Islamic Republic of Iran,6,6,1,13,2012
London 2012,1.0,New Zealand,6,2,5,13,2012
London 2012,1.0,Ukraine,5,4,10,19,2012
London 2012,1.0,Cuba,5,3,7,15,2012
London 2012,1.0,Spain,4,10,4,18,2012
London 2012,1.0,Jamaica,4,5,3,12,2012
London 2012,1.0,Czech Republic,4,3,4,11,2012
London 2012,1.0,South Africa,4,1,1,6,2012
London 2012,1.0,Democratic People's Republic of Korea,4,0,2,6,2012
London 2012,1.0,Brazil,3,5,9,17,2012
London 2012,1.0,Ethiopia,3,2,2,7,2012
London 2012,1.0,Kazakhstan,3,1,7,11,2012
London 2012,1.0,Poland,3,1,7,11,2012
London 2012,1.0,Croatia,3,1,2,6,2012
London 2012,1.0,Canada,2,5,11,18,2012
London 2012,1.0,Belarus,2,5,3,10,2012
London 2012,1.0,Romania,2,5,2,9,2012
London 2012,1.0,Kenya,2,4,6,12,2012
London 2012,1.0,Denmark,2,4,3,9,2012
London 2012,1.0,Azerbaijan,2,2,6,10,2012
London 2012,1.0,Switzerland,2,2,0,4,2012
London 2012,1.0,Norway,2,1,1,4,2012
London 2012,1.0,Lithuania,2,0,3,5,2012
London 2012,1.0,Tunisia,2,0,1,3,2012
London 2012,1.0,Sweden,1,4,3,8,2012
London 2012,1.0,Mexico,1,3,4,8,2012
London 2012,1.0,Colombia,1,3,4,8,2012
London 2012,1.0,Georgia,1,2,3,6,2012
London 2012,1.0,Ireland,1,1,4,6,2012
London 2012,1.0,Argentina,1,1,2,4,2012
London 2012,1.0,Slovenia,1,1,2,4,2012
London 2012,1.0,Serbia,1,1,2,4,2012
London 2012,1.0,Trinidad and Tobago,1,1,2,4,2012
London 2012,1.0,Turkey,1,1,1,3,2012
London 2012,1.0,Dominican Republic,1,1,0,2,2012
London 2012,1.0,Latvia,1,0,1,2,2012
London 2012,1.0,Chinese Taipei,1,0,1,2,2012
London 2012,1.0,Grenada,1,0,0,1,2012
London 2012,1.0,Bahrain,1,0,0,1,2012
London 2012,1.0,Venezuela,1,0,0,1,2012
London 2012,1.0,Algeria,1,0,0,1,2012
London 2012,1.0,Uganda,1,0,0,1,2012
London 2012,1.0,Bahamas,1,0,0,1,2012
London 2012,1.0,Egypt,0,3,1,4,2012
London 2012,1.0,India,0,2,4,6,2012
London 2012,1.0,Mongolia,0,2,3,5,2012
London 2012,1.0,Thailand,0,2,2,4,2012
London 2012,1.0,Bulgaria,0,2,1,3,2012
London 2012,1.0,Finland,0,2,1,3,2012
London 2012,1.0,Indonesia,0,2,1,3,2012
London 2012,1.0,Slovakia,0,1,3,4,2012
London 2012,1.0,Belgium,0,1,2,3,2012
London 2012,1.0,Puerto Rico,0,1,1,2,2012
London 2012,1.0,Estonia,0,1,1,2,2012
London 2012,1.0,Armenia,0,1,1,2,2012
London 2012,1.0,Malaysia,0,1,1,2,2012
London 2012,1.0,Botswana,0,1,0,1,2012
London 2012,1.0,Guatemala,0,1,0,1,2012
London 2012,1.0,Portugal,0,1,0,1,2012
London 2012,1.0,Montenegro,0,1,0,1,2012
London 2012,1.0,Gabon,0,1,0,1,2012
London 2012,1.0,Cyprus,0,1,0,1,2012
London 2012,1.0,Qatar,0,0,2,2,2012
London 2012,1.0,Greece,0,0,2,2,2012
London 2012,1.0,Singapore,0,0,2,2,2012
London 2012,1.0,Uzbekistan,0,0,2,2,2012
London 2012,1.0,Saudi Arabia,0,0,1,1,2012
London 2012,1.0,Kuwait,0,0,1,1,2012
London 2012,1.0,Afghanistan,0,0,1,1,2012
London 2012,1.0,"Hong Kong, China",0,0,1,1,2012
London 2012,1.0,Tajikistan,0,0,1,1,2012
London 2012,1.0,Cameroon,0,0,1,1,2012
London 2012,1.0,Morocco,0,0,1,1,2012
Sochi 2014,0.0,Russian Federation,11,9,9,29,2014
Sochi 2014,0.0,Norway,11,5,10,26,2014
Sochi 2014,0.0,Canada,10,10,5,25,2014
Sochi 2014,0.0,United States of America,9,9,10,28,2014
Sochi 2014,0.0,Netherlands,8,7,9,24,2014
Sochi 2014,0.0,Germany,8,6,5,19,2014
Sochi 2014,0.0,Switzerland,7,2,2,11,2014
Sochi 2014,0.0,Belarus,5,0,1,6,2014
Sochi 2014,0.0,Austria,4,8,5,17,2014
Sochi 2014,0.0,France,4,4,7,15,2014
Sochi 2014,0.0,Poland,4,1,1,6,2014
Sochi 2014,0.0,People's Republic of China,3,4,2,9,2014
Sochi 2014,0.0,Republic of Korea,3,3,2,8,2014
Sochi 2014,0.0,Sweden,2,7,6,15,2014
Sochi 2014,0.0,Czech Republic,2,4,2,8,2014
Sochi 2014,0.0,Slovenia,2,2,4,8,2014
Sochi 2014,0.0,Japan,1,4,3,8,2014
Sochi 2014,0.0,Finland,1,3,1,5,2014
Sochi 2014,0.0,Latvia,1,1,3,5,2014
Sochi 2014,0.0,Great Britain,1,1,3,5,2014
Sochi 2014,0.0,Ukraine,1,0,1,2,2014
Sochi 2014,0.0,Slovakia,1,0,0,1,2014
Sochi 2014,0.0,Italy,0,2,6,8,2014
Sochi 2014,0.0,Australia,0,2,1,3,2014
Sochi 2014,0.0,Croatia,0,1,0,1,2014
Sochi 2014,0.0,Kazakhstan,0,0,1,1,2014
Rio 2016,1.0,United States of America,46,37,38,121,2016
Rio 2016,1.0,Great Britain,27,23,17,67,2016
Rio 2016,1.0,People's Republic of China,26,18,26,70,2016
Rio 2016,1.0,Russian Federation,19,17,20,56,2016
Rio 2016,1.0,Germany,17,10,15,42,2016
Rio 2016,1.0,Japan,12,8,21,41,2016
Rio 2016,1.0,France,10,18,14,42,2016
Rio 2016,1.0,Republic of Korea,9,3,9,21,2016
Rio 2016,1.0,Italy,8,12,8,28,2016
Rio 2016,1.0,Australia,8,11,10,29,2016
Rio 2016,1.0,Netherlands,8,7,4,19,2016
Rio 2016,1.0,Hungary,8,3,4,15,2016
Rio 2016,1.0,Brazil,7,6,6,19,2016
Rio 2016,1.0,Spain,7,4,6,17,2016
Rio 2016,1.0,Kenya,6,6,1,13,2016
Rio 2016,1.0,Jamaica,6,3,2,11,2016
Rio 2016,1.0,Croatia,5,3,2,10,2016
Rio 2016,1.0,Cuba,5,2,4,11,2016
Rio 2016,1.0,New Zealand,4,9,5,18,2016
Rio 2016,1.0,Canada,4,3,15,22,2016
Rio 2016,1.0,Uzbekistan,4,2,7,13,2016
Rio 2016,1.0,Kazakhstan,3,5,10,18,2016
Rio 2016,1.0,Colombia,3,2,3,8,2016
Rio 2016,1.0,Switzerland,3,2,2,7,2016
Rio 2016,1.0,Islamic Republic of Iran,3,1,4,8,2016
Rio 2016,1.0,Greece,3,1,2,6,2016
Rio 2016,1.0,Argentina,3,1,0,4,2016
Rio 2016,1.0,Denmark,2,6,7,15,2016
Rio 2016,1.0,Sweden,2,6,3,11,2016
Rio 2016,1.0,South Africa,2,6,2,10,2016
Rio 2016,1.0,Ukraine,2,5,4,11,2016
Rio 2016,1.0,Serbia,2,4,2,8,2016
Rio 2016,1.0,Poland,2,3,6,11,2016
Rio 2016,1.0,Democratic People's Republic of Korea,2,3,2,7,2016
Rio 2016,1.0,Thailand,2,2,2,6,2016
Rio 2016,1.0,Belgium,2,2,2,6,2016
Rio 2016,1.0,Slovakia,2,2,0,4,2016
Rio 2016,1.0,Georgia,2,1,4,7,2016
Rio 2016,1.0,Azerbaijan,1,7,10,18,2016
Rio 2016,1.0,Belarus,1,4,4,9,2016
Rio 2016,1.0,Turkey,1,3,4,8,2016
Rio 2016,1.0,Armenia,1,3,0,4,2016
Rio 2016,1.0,Czech Republic,1,2,7,10,2016
Rio 2016,1.0,Ethiopia,1,2,5,8,2016
Rio 2016,1.0,Slovenia,1,2,1,4,2016
Rio 2016,1.0,Indonesia,1,2,0,3,2016
Rio 2016,1.0,Romania,1,1,2,4,2016
Rio 2016,1.0,Bahrain,1,1,0,2,2016
Rio 2016,1.0,Vietnam,1,1,0,2,2016
Rio 2016,1.0,Chinese Taipei,1,0,2,3,2016
Rio 2016,1.0,C̫te d'Ivoire,1,0,1,2,2016
Rio 2016,1.0,Bahamas,1,0,1,2,2016
Rio 2016,1.0,Independent Olympic Athletes,1,0,1,2,2016
Rio 2016,1.0,Kosovo,1,0,0,1,2016
Rio 2016,1.0,Puerto Rico,1,0,0,1,2016
Rio 2016,1.0,Tajikistan,1,0,0,1,2016
Rio 2016,1.0,Fiji,1,0,0,1,2016
Rio 2016,1.0,Singapore,1,0,0,1,2016
Rio 2016,1.0,Jordan,1,0,0,1,2016
Rio 2016,1.0,Malaysia,0,4,1,5,2016
Rio 2016,1.0,Mexico,0,3,2,5,2016
Rio 2016,1.0,Venezuela,0,2,1,3,2016
Rio 2016,1.0,Ireland,0,2,0,2,2016
Rio 2016,1.0,Algeria,0,2,0,2,2016
Rio 2016,1.0,Lithuania,0,1,3,4,2016
Rio 2016,1.0,Bulgaria,0,1,2,3,2016
Rio 2016,1.0,India,0,1,1,2,2016
Rio 2016,1.0,Mongolia,0,1,1,2,2016
Rio 2016,1.0,Burundi,0,1,0,1,2016
Rio 2016,1.0,Philippines,0,1,0,1,2016
Rio 2016,1.0,Qatar,0,1,0,1,2016
Rio 2016,1.0,Grenada,0,1,0,1,2016
Rio 2016,1.0,Niger,0,1,0,1,2016
Rio 2016,1.0,Norway,0,0,4,4,2016
Rio 2016,1.0,Tunisia,0,0,3,3,2016
Rio 2016,1.0,Egypt,0,0,3,3,2016
Rio 2016,1.0,Israel,0,0,2,2,2016
Rio 2016,1.0,Trinidad and Tobago,0,0,1,1,2016
Rio 2016,1.0,Morocco,0,0,1,1,2016
Rio 2016,1.0,Nigeria,0,0,1,1,2016
Rio 2016,1.0,Finland,0,0,1,1,2016
Rio 2016,1.0,Estonia,0,0,1,1,2016
Rio 2016,1.0,Dominican Republic,0,0,1,1,2016
Rio 2016,1.0,Austria,0,0,1,1,2016
Rio 2016,1.0,United Arab Emirates,0,0,1,1,2016
Rio 2016,1.0,Portugal,0,0,1,1,2016
PyeongChang 2018,0.0,Norway,14,14,11,39,2018
PyeongChang 2018,0.0,Germany,14,10,7,31,2018
PyeongChang 2018,0.0,Canada,11,8,10,29,2018
PyeongChang 2018,0.0,United States of America,9,8,6,23,2018
PyeongChang 2018,0.0,Netherlands,8,6,6,20,2018
PyeongChang 2018,0.0,Sweden,7,6,1,14,2018
PyeongChang 2018,0.0,Republic of Korea,5,8,4,17,2018
PyeongChang 2018,0.0,Switzerland,5,6,4,15,2018
PyeongChang 2018,0.0,France,5,4,6,15,2018
PyeongChang 2018,0.0,Austria,5,3,6,14,2018
PyeongChang 2018,0.0,Japan,4,5,4,13,2018
PyeongChang 2018,0.0,Italy,3,2,5,10,2018
PyeongChang 2018,0.0,Olympic Athletes from Russia,2,6,9,17,2018
PyeongChang 2018,0.0,Czech Republic,2,2,3,7,2018
PyeongChang 2018,0.0,Belarus,2,1,0,3,2018
PyeongChang 2018,0.0,People's Republic of China,1,6,2,9,2018
PyeongChang 2018,0.0,Slovakia,1,2,0,3,2018
PyeongChang 2018,0.0,Finland,1,1,4,6,2018
PyeongChang 2018,0.0,Great Britain,1,0,4,5,2018
PyeongChang 2018,0.0,Poland,1,0,1,2,2018
PyeongChang 2018,0.0,Ukraine,1,0,0,1,2018
PyeongChang 2018,0.0,Hungary,1,0,0,1,2018
PyeongChang 2018,0.0,Australia,0,2,1,3,2018
PyeongChang 2018,0.0,Slovenia,0,1,1,2,2018
PyeongChang 2018,0.0,Belgium,0,1,0,1,2018
PyeongChang 2018,0.0,New Zealand,0,0,2,2,2018
PyeongChang 2018,0.0,Spain,0,0,2,2,2018
PyeongChang 2018,0.0,Kazakhstan,0,0,1,1,2018
PyeongChang 2018,0.0,Liechtenstein,0,0,1,1,2018
PyeongChang 2018,0.0,Latvia,0,0,1,1,2018
Tokyo 2020,1.0,United States of America,39,41,33,113,2020
Tokyo 2020,1.0,People's Republic of China,38,32,18,88,2020
Tokyo 2020,1.0,Japan,27,14,17,58,2020
Tokyo 2020,1.0,Great Britain,22,21,22,65,2020
Tokyo 2020,1.0,ROC,20,28,23,71,2020
Tokyo 2020,1.0,Australia,17,7,22,46,2020
Tokyo 2020,1.0,Netherlands,10,12,14,36,2020
Tokyo 2020,1.0,France,10,12,11,33,2020
Tokyo 2020,1.0,Germany,10,11,16,37,2020
Tokyo 2020,1.0,Italy,10,10,20,40,2020
Tokyo 2020,1.0,Canada,7,6,11,24,2020
Tokyo 2020,1.0,Brazil,7,6,8,21,2020
Tokyo 2020,1.0,New Zealand,7,6,7,20,2020
Tokyo 2020,1.0,Cuba,7,3,5,15,2020
Tokyo 2020,1.0,Hungary,6,7,7,20,2020
Tokyo 2020,1.0,Republic of Korea,6,4,10,20,2020
Tokyo 2020,1.0,Poland,4,5,5,14,2020
Tokyo 2020,1.0,Czech Republic,4,4,3,11,2020
Tokyo 2020,1.0,Kenya,4,4,2,10,2020
Tokyo 2020,1.0,Norway,4,2,2,8,2020
Tokyo 2020,1.0,Jamaica,4,1,4,9,2020
Tokyo 2020,1.0,Spain,3,8,6,17,2020
Tokyo 2020,1.0,Sweden,3,6,0,9,2020
Tokyo 2020,1.0,Switzerland,3,4,6,13,2020
Tokyo 2020,1.0,Denmark,3,4,4,11,2020
Tokyo 2020,1.0,Croatia,3,3,2,8,2020
Tokyo 2020,1.0,Islamic Republic of Iran,3,2,2,7,2020
Tokyo 2020,1.0,Serbia,3,1,5,9,2020
Tokyo 2020,1.0,Belgium,3,1,3,7,2020
Tokyo 2020,1.0,Bulgaria,3,1,2,6,2020
Tokyo 2020,1.0,Slovenia,3,1,1,5,2020
Tokyo 2020,1.0,Uzbekistan,3,0,2,5,2020
Tokyo 2020,1.0,Georgia,2,5,1,8,2020
Tokyo 2020,1.0,Chinese Taipei,2,4,6,12,2020
Tokyo 2020,1.0,Turkey,2,2,9,13,2020
Tokyo 2020,1.0,Greece,2,1,1,4,2020
Tokyo 2020,1.0,Uganda,2,1,1,4,2020
Tokyo 2020,1.0,Ecuador,2,1,0,3,2020
Tokyo 2020,1.0,Israel,2,0,2,4,2020
Tokyo 2020,1.0,Ireland,2,0,2,4,2020
Tokyo 2020,1.0,Qatar,2,0,1,3,2020
Tokyo 2020,1.0,Bahamas,2,0,0,2,2020
Tokyo 2020,1.0,Kosovo,2,0,0,2,2020
Tokyo 2020,1.0,Ukraine,1,6,12,19,2020
Tokyo 2020,1.0,Belarus,1,3,3,7,2020
Tokyo 2020,1.0,Venezuela,1,3,0,4,2020
Tokyo 2020,1.0,Romania,1,3,0,4,2020
Tokyo 2020,1.0,India,1,2,4,7,2020
Tokyo 2020,1.0,"Hong Kong, China",1,2,3,6,2020
Tokyo 2020,1.0,Slovakia,1,2,1,4,2020
Tokyo 2020,1.0,Philippines,1,2,1,4,2020
Tokyo 2020,1.0,South Africa,1,2,0,3,2020
Tokyo 2020,1.0,Austria,1,1,5,7,2020
Tokyo 2020,1.0,Egypt,1,1,4,6,2020
Tokyo 2020,1.0,Indonesia,1,1,3,5,2020
Tokyo 2020,1.0,Portugal,1,1,2,4,2020
Tokyo 2020,1.0,Ethiopia,1,1,2,4,2020
Tokyo 2020,1.0,Tunisia,1,1,0,2,2020
Tokyo 2020,1.0,Fiji,1,0,1,2,2020
Tokyo 2020,1.0,Latvia,1,0,1,2,2020
Tokyo 2020,1.0,Estonia,1,0,1,2,2020
Tokyo 2020,1.0,Thailand,1,0,1,2,2020
Tokyo 2020,1.0,Morocco,1,0,0,1,2020
Tokyo 2020,1.0,Puerto Rico,1,0,0,1,2020
Tokyo 2020,1.0,Bermuda,1,0,0,1,2020
Tokyo 2020,1.0,Colombia,0,4,1,5,2020
Tokyo 2020,1.0,Azerbaijan,0,3,4,7,2020
Tokyo 2020,1.0,Dominican Republic,0,3,2,5,2020
Tokyo 2020,1.0,Armenia,0,2,2,4,2020
Tokyo 2020,1.0,Kyrgyzstan,0,2,1,3,2020
Tokyo 2020,1.0,Mongolia,0,1,3,4,2020
Tokyo 2020,1.0,San Marino,0,1,2,3,2020
Tokyo 2020,1.0,Argentina,0,1,2,3,2020
Tokyo 2020,1.0,Malaysia,0,1,1,2,2020
Tokyo 2020,1.0,Nigeria,0,1,1,2,2020
Tokyo 2020,1.0,Jordan,0,1,1,2,2020
Tokyo 2020,1.0,Bahrain,0,1,0,1,2020
Tokyo 2020,1.0,Saudi Arabia,0,1,0,1,2020
Tokyo 2020,1.0,Lithuania,0,1,0,1,2020
Tokyo 2020,1.0,North Macedonia,0,1,0,1,2020
Tokyo 2020,1.0,Namibia,0,1,0,1,2020
Tokyo 2020,1.0,Turkmenistan,0,1,0,1,2020
Tokyo 2020,1.0,Kazakhstan,0,0,8,8,2020
Tokyo 2020,1.0,Mexico,0,0,4,4,2020
Tokyo 2020,1.0,Finland,0,0,2,2,2020
Tokyo 2020,1.0,Republic of Moldova,0,0,1,1,2020
Tokyo 2020,1.0,Grenada,0,0,1,1,2020
Tokyo 2020,1.0,Ghana,0,0,1,1,2020
Tokyo 2020,1.0,Burkina Faso,0,0,1,1,2020
Tokyo 2020,1.0,C̫te d'Ivoire,0,0,1,1,2020
Tokyo 2020,1.0,Botswana,0,0,1,1,2020
Tokyo 2020,1.0,Kuwait,0,0,1,1,2020
Tokyo 2020,1.0,Syrian Arab Republic,0,0,1,1,2020
