,games_country_sport,Name,Athlete,name_partial_ratio,Event_results,Event_stripped,event_token_sort_ratio
2970,2008 Summer_Sweden_Wrestling,Ara Abrahamian,Ara Abrahamian,100,"Wrestling Men's Light-Heavyweight, Greco-Roman","Wrestling, Men's Greco-Roman 84 kg (X, Z)",63
4919,2000 Summer_Bulgaria_Weightlifting,Izabela Dragneva (Rifatova-),Izabela Dragneva,100,Weightlifting Women's Flyweight,"Weightlifting, Women's 48 kg",60
5168,2008 Summer_China_Weightlifting,Chen Xiexia,Chen Xiexia,100,Weightlifting Women's Flyweight,"Weightlifting, Women's 48 kg",60
4594,2004 Summer_Ireland_Equestrianism,Cian O'Connor,Waterford Crystal (horse; Cian O'Connor rider),100,"Equestrianism Mixed Jumping, Individual","Equestrian, Individual show jumping",57
5164,2008 Summer_China_Weightlifting,Cao Lei,Cao Lei,100,Weightlifting Women's Heavyweight,"Weightlifting, Women's 75 kg",56
5263,2012 Summer_Georgia_Wrestling,Davit Modzmanashvili,Davit Modzmanashvili,100,"Wrestling Men's Super-Heavyweight, Freestyle","Wrestling, Men's freestyle 120 kg",56
5315,2000 Summer_China_Gymnastics,Dong Fangxiao,Gymnastics team (Dong Fangxiao),100,Gymnastics Women's Balance Beam,"Gymnastics, Women's artistic team all-around (Z)",56
5228,2012 Summer_Moldova_Weightlifting,Cristina Iovu,Cristina Iovu,100,Weightlifting Women's Featherweight,"Weightlifting, Women's 53 kg",53
4281,2016 Summer_Kyrgyzstan_Weightlifting,Izzat Artykov,Izzat Artykov,100,Weightlifting Men's Lightweight,"Weightlifting, Men's 69 kg",50
5272,2008 Summer_Armenia_Weightlifting,Tigran Gevorg Martirosyan,Tigran Gevorg Martirosyan,100,Weightlifting Men's Lightweight,"Weightlifting, Men's 69 kg",50
5548,2000 Summer_Germany_Wrestling,Alexander Leipold,Alexander Leipold,100,"Wrestling Men's Middleweight, Freestyle","Wrestling, Men's freestyle 76 kg",50
5313,2000 Summer_China_Gymnastics,Dong Fangxiao,Gymnastics team (Dong Fangxiao),100,Gymnastics Women's Horse Vault,"Gymnastics, Women's artistic team all-around (Z)",49
5314,2000 Summer_China_Gymnastics,Dong Fangxiao,Gymnastics team (Dong Fangxiao),100,Gymnastics Women's Uneven Bars,"Gymnastics, Women's artistic team all-around (Z)",49
4900,1976 Summer_Bulgaria_Weightlifting,Valentin Khristov,Valentin Khristov,100,Weightlifting Men's Heavyweight,"Weightlifting, Men's 110 kg",48
4923,2000 Summer_Bulgaria_Weightlifting,Ivan Ivanov Ivanov,Ivan Ivanov,100,Weightlifting Men's Bantamweight,"Weightlifting, Men's 56 kg",48
5395,2004 Summer_Hungary_Weightlifting,Ferenc Gyurkovics,Ferenc Gyurkovics,100,Weightlifting Men's Heavyweight,"Weightlifting, Men's 105 kg",48
4630,1972 Summer_Mongolia_Judo,Bakhvain Buyadaa,Bakhvain Buyadaa,100,Judo Men's Lightweight,"Judo, Men's 63 kg (X)",47
4933,2000 Summer_Bulgaria_Weightlifting,Sevdalin Minchev Angelov,Sevdalin Minchev,100,Weightlifting Men's Featherweight,"Weightlifting, Men's 62 kg",47
5178,2008 Summer_China_Weightlifting,Liu Chunhong,Liu Chunhong,100,Weightlifting Women's Light-Heavyweight,"Weightlifting, Women's 69 kg",47
5248,2012 Summer_Armenia_Weightlifting,Hripsime Khurshudyan,Hripsime Khurshudyan,100,Weightlifting Women's Super-Heavyweight,"Weightlifting, Women's +75 kg",47
5300,2004 Summer_Greece_Weightlifting,Leonidas Sabanis,Leonidas Sabanis,100,Weightlifting Men's Featherweight,"Weightlifting, Men's 62 kg",47
4645,1988 Summer_Hungary_Weightlifting,Andor Szanyi,Andor Szanyi,100,Weightlifting Men's Heavyweight I,"Weightlifting, Men's 100 kg",45
5406,1968 Summer_Sweden_Modern Pentathlon,Hans-Gunnar Liljenwall,Modern Pentathlon team (Hans-Gunnar Liljenwall),100,Modern Pentathlon Men's Team,"Modern pentathlon, Team",45
5588,2016 Summer_Moldova_Canoeing,Serghei Tarnovschi,Serghei Tarnovschi,100,"Canoeing Men's Canadian Singles, 1,000 metres","Canoeing, Men's C-1 1000 m",44
5251,2000 Summer_Armenia_Weightlifting,Ashot Danielyan,Ashot Danielyan,100,Weightlifting Men's Super-Heavyweight,"Weightlifting, Men's +105 kg",40
4899,1976 Summer_Bulgaria_Weightlifting,Blagoy Blagoev,Blagoy Blagoev,100,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 82.5 kg",39
5312,2000 Summer_China_Gymnastics,Dong Fangxiao,Gymnastics team (Dong Fangxiao),100,Gymnastics Women's Floor Exercise,"Gymnastics, Women's artistic team all-around (Z)",39
2980,2004 Summer_Germany_Equestrianism,Ludger Beerbaum,Equestrian team[nb 1](Goldfever horse; Ludger Beerbaum rider),100,"Equestrianism Mixed Jumping, Team","Equestrian, Team show jumping",36
2979,2004 Summer_Germany_Equestrianism,Ludger Beerbaum,Equestrian team[nb 1](Goldfever horse; Ludger Beerbaum rider),100,"Equestrianism Mixed Jumping, Individual","Equestrian, Team show jumping",32
4595,2004 Summer_Ireland_Equestrianism,Cian O'Connor,Waterford Crystal (horse; Cian O'Connor rider),100,"Equestrianism Mixed Jumping, Team","Equestrian, Individual show jumping",32
5405,1968 Summer_Sweden_Modern Pentathlon,Hans-Gunnar Liljenwall,Modern Pentathlon team (Hans-Gunnar Liljenwall),100,Modern Pentathlon Men's Individual,"Modern pentathlon, Team",22
4669,2012 Summer_Azerbaijan_Weightlifting,Valentin Xristov Snezhev,Valentin Hristov,94,Weightlifting Men's Bantamweight,"Weightlifting, Men's 56 kg",48
5309,2008 Summer_Norway_Equestrianism,Tony Andr Hansen,Equestrian team[nb 2](Camiro horse; Tony André Hansen rider),94,"Equestrianism Mixed Jumping, Team","Equestrian, team show jumping",36
5308,2008 Summer_Norway_Equestrianism,Tony Andr Hansen,Equestrian team[nb 2](Camiro horse; Tony André Hansen rider),94,"Equestrianism Mixed Jumping, Individual","Equestrian, team show jumping",32
5386,1972 Summer_Spain_Cycling,Jaime Hulamo Hulamo,Jaime Huélamo,92,"Cycling Men's Road Race, Individual","Cycling, Men's individual road race (X)",64
5520,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 10/10 kilometres Pursuit,"Cross-Country Skiing, Men's 10 km + 10 km combined pursuit",57
5387,1972 Summer_Spain_Cycling,Jaime Hulamo Hulamo,Jaime Huélamo,92,Cycling Men's 100 kilometres Team Time Trial,"Cycling, Men's individual road race (X)",28
5518,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 10/10 kilometres Pursuit,"Cross-Country Skiing, Men's 50 km classical",28
5519,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 10/10 kilometres Pursuit,"Cross-Country Skiing, Men's 30 km freestyle",28
5513,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 30 kilometres,"Cross-Country Skiing, Men's 30 km freestyle",27
5515,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 50 kilometres,"Cross-Country Skiing, Men's 50 km classical",27
5512,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 30 kilometres,"Cross-Country Skiing, Men's 50 km classical",23
5516,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 50 kilometres,"Cross-Country Skiing, Men's 30 km freestyle",23
5514,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 30 kilometres,"Cross-Country Skiing, Men's 10 km + 10 km combined pursuit",19
5517,2002 Winter_Spain_Cross Country Skiing,Johann Mhlegg,Johann Mühlegg,92,Cross Country Skiing Men's 50 kilometres,"Cross-Country Skiing, Men's 10 km + 10 km combined pursuit",19
5536,2008 Summer_North Korea_Shooting,Kim Jong-Su,Kim Jong-su,91,"Shooting Men's Free Pistol, 50 metres","Shooting, Men's 50 m air pistol",60
5537,2008 Summer_North Korea_Shooting,Kim Jong-Su,Kim Jong-su,91,"Shooting Men's Free Pistol, 50 metres","Shooting, Men's 10 m air pistol",60
4277,2008 Summer_Turkey_Weightlifting,Sibel zkan,Sibel Özkan,90,Weightlifting Women's Flyweight,"Weightlifting, Women's 48 kg",60
4647,2012 Summer_Lithuania_Canoeing,Jevgenijus uklinas,Jevgenij Shuklin,88,"Canoeing Men's Canadian Singles, 200 metres","Canoeing, Men's C-1 200 m (Y)",33
3754,1984 Summer_Sweden_Wrestling,Kent-Olle Tommy Johansson,Tomas Johansson,87,"Wrestling Men's Featherweight, Greco-Roman","Wrestling, Men's Greco-Roman +100 kg",63
3,2016 Summer_Romania_Weightlifting,Gabriel Sncrian,Gabriel Sîncrăian,87,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 85 kg",41
5492,1988 Summer_Bulgaria_Weightlifting,Angel Angelov Genchev,Angel Guenchev,86,Weightlifting Men's Lightweight,"Weightlifting, Men's 67.5 kg",47
5584,2012 Summer_Belarus_Weightlifting,Marina Ivanovna Shkermankova,Maryna Shkermankova,84,Weightlifting Women's Light-Heavyweight,"Weightlifting, Women's 69 kg",47
5275,2008 Summer_Ukraine_Weightlifting,Nataliya Anatolivna Davydova,Nataliya Davydova,82,Weightlifting Women's Light-Heavyweight,"Weightlifting, Women's 69 kg",47
3755,1984 Summer_Sweden_Wrestling,Karl Tomas Ingemar Johansson,Tomas Johansson,80,"Wrestling Men's Super-Heavyweight, Greco-Roman","Wrestling, Men's Greco-Roman +100 kg",59
3251,2008 Summer_Russia_Weightlifting,Marina Vladimirovna Shainova,Marina Shainova,80,Weightlifting Women's Lightweight,"Weightlifting, Women's 58 kg",56
3199,2008 Summer_Kazakhstan_Weightlifting,Mariya Aleksandrovna Grabovetskaya,Mariya Grabovetskaya,80,Weightlifting Women's Super-Heavyweight,"Weightlifting, Women's +75 kg",47
5273,2008 Summer_Armenia_Weightlifting,Tigran Varban Martirosyan,Tigran Gevorg Martirosyan,80,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 69 kg",41
5587,2016 Summer_Moldova_Canoeing,Oleg Tarnovschi,Serghei Tarnovschi,80,"Canoeing Men's Canadian Singles, 200 metres","Canoeing, Men's C-1 1000 m",29
5216,2012 Summer_Kazakhstan_Weightlifting,Svetlana Nikolayevna Podobedova,Svetlana Podobedova,79,Weightlifting Women's Heavyweight,"Weightlifting, Women's 75 kg",56
3391,2012 Summer_Russia_Weightlifting,Svetlana Kaspolatovna Tsarukayeva,Svetlana Tsarukaeva,79,Weightlifting Women's Middleweight,"Weightlifting, Women's 63 kg",55
4220,2004 Summer_United States_Cycling,Tyler S. Hamilton,Tyler Hamilton,79,"Cycling Men's Road Race, Individual","Cycling, Men's road time trial",43
3228,2008 Summer_Russia_Weightlifting,Khadzhimurat Magomedovich Akkayev,Khadzhimurat Akkaev,79,Weightlifting Men's Middle-Heavyweight,"Weightlifting, Men's 94 kg",40
5569,2008 Summer_Ukraine_Modern Pentathlon,Viktoriya Anatolivna Tereshchuk,Victoria Tereshchuk,79,Modern Pentathlon Women's Individual,"Modern pentathlon, Women's modern pentathlon",33
507,2008 Summer_Russia_Athletics,Yekaterina Aleksandrovna Kostetskaya,Yekaterina Volkova,78,Athletics Women's 800 metres,"Athletics, Women's 3000 m steeplechase",58
4998,2002 Winter_Russia_Cross Country Skiing,Olga Valeryevna Danilova,Olga Danilova,77,Cross Country Skiing Women's 5/5 kilometres Pursuit,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",62
5557,2012 Summer_Ukraine_Weightlifting,Yuliya Anatolivna Kalina,Yuliya Kalina,77,Weightlifting Women's Lightweight,"Weightlifting, Women's 58 kg",56
5571,2012 Summer_Belarus_Weightlifting,Irina Mikhaylovna Kulesha,Iryna Kulesha,77,Weightlifting Women's Heavyweight,"Weightlifting, Women's 75 kg",56
3210,2008 Summer_Kazakhstan_Weightlifting,Irina Sergeyevna Nekrasova,Irina Nekrassova,77,Weightlifting Women's Middleweight,"Weightlifting, Women's 63 kg",55
4989,2002 Winter_Russia_Cross Country Skiing,Olga Valeryevna Danilova,Olga Danilova,77,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 10 km classical",50
4994,2002 Winter_Russia_Cross Country Skiing,Olga Valeryevna Danilova,Olga Danilova,77,Cross Country Skiing Women's 30 kilometres,"Cross-Country Skiing, Women's 10 km classical",47
3373,2012 Summer_Russia_Weightlifting,Apti Khamzatovich Aukhadov,Apti Aukhadov,77,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 85 kg",41
5225,2012 Summer_Moldova_Weightlifting,Anatolii Crcu,Anatolie Cîrîcu,77,Weightlifting Men's Middle-Heavyweight,"Weightlifting, Men's 94 kg",40
4999,2002 Winter_Russia_Cross Country Skiing,Olga Valeryevna Danilova,Olga Danilova,77,Cross Country Skiing Women's 5/5 kilometres Pursuit,"Cross-Country Skiing, Women's 10 km classical",33
4988,2002 Winter_Russia_Cross Country Skiing,Olga Valeryevna Danilova,Olga Danilova,77,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",32
4993,2002 Winter_Russia_Cross Country Skiing,Olga Valeryevna Danilova,Olga Danilova,77,Cross Country Skiing Women's 30 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",32
3416,2008 Summer_Ukraine_Wrestling,Vasyl Petrovych Fedoryshyn,Vasyl Fedoryshyn,75,"Wrestling Men's Lightweight, Freestyle","Wrestling, Men's freestyle 60 kg",64
2551,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's Long Jump,"Athletics, Women's 200 m",60
2543,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's 4 x 100 metres Relay,"Athletics, Women's 200 m",59
2547,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's 4 x 400 metres Relay,"Athletics, Women's 200 m",59
2550,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's Long Jump,"Athletics, Women's 100 m (X)",56
2124,2012 Summer_Russia_Athletics,Tatyana Ivanovna Tomashova,Tatyana Chernova,75,"Athletics Women's 1,500 metres","Athletics, Women's heptathlon",53
2536,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's 100 metres,"Athletics, Women's long jump",51
2540,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's 200 metres,"Athletics, Women's long jump",51
186,2008 Summer_Russia_Athletics,Tatyana Sergeyevna Chernova,Tatyana Lebedeva,75,Athletics Women's Heptathlon,"Athletics, Women's triple jump",49
