,games_country_sport,Name,Athlete,name_partial_ratio,Event_results,Event_stripped,event_token_sort_ratio
964,2008 Summer_Russia_Athletics,Tatyana Leonidovna Veshkurova,Tatyana Chernova,75,Athletics Women's 4 x 400 metres Relay,"Athletics, Women's heptathlon",48
960,2008 Summer_Russia_Athletics,Tatyana Leonidovna Veshkurova,Tatyana Lebedeva,75,Athletics Women's 4 x 400 metres Relay,"Athletics, Women's triple jump",47
5280,2008 Summer_Ukraine_Weightlifting,Olha Vasylivna Korobka,Olha Korobka,75,Weightlifting Women's Super-Heavyweight,"Weightlifting, Women's +75 kg",47
961,2008 Summer_Russia_Athletics,Tatyana Leonidovna Veshkurova,Tatyana Lebedeva,75,Athletics Women's 4 x 400 metres Relay,"Athletics, Women's long jump",44
2544,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's 4 x 100 metres Relay,"Athletics, Women's long jump",44
2548,2000 Summer_United States_Athletics,"Marion Lois Jones (-Hunter, -Montgomery, -Thompson)",Marion Jones,75,Athletics Women's 4 x 400 metres Relay,"Athletics, Women's long jump",44
4240,2000 Summer_United States_Cycling,Lance Edward Armstrong (Gunderson-),Lance Armstrong,73,Cycling Men's Individual Time Trial,"Cycling, Men's road time trial (X)",64
1503,2012 Summer_Russia_Athletics,Gulfiya Raifovna Khanafeyeva,Yuliya Zaripova,73,Athletics Women's Hammer Throw,"Athletics, Women's 3000 m steeplechase",51
3513,1976 Winter_Soviet Union_Cross Country Skiing,Galina Alekseyevna Kulakova,Galina Kulakova,73,Cross Country Skiing Women's 5 kilometres,"Cross-Country Skiing, Women's 5 km",50
3515,1976 Winter_Soviet Union_Cross Country Skiing,Galina Alekseyevna Kulakova,Galina Kulakova,73,Cross Country Skiing Women's 4 x 5 kilometres Relay,"Cross-Country Skiing, Women's 5 km",48
3514,1976 Winter_Soviet Union_Cross Country Skiing,Galina Alekseyevna Kulakova,Galina Kulakova,73,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 5 km",42
4239,2000 Summer_United States_Cycling,Lance Edward Armstrong (Gunderson-),Lance Armstrong,73,"Cycling Men's Road Race, Individual","Cycling, Men's road time trial (X)",42
4936,2000 Summer_Bulgaria_Weightlifting,Donka Mincheva,Sevdalin Minchev,72,Weightlifting Women's Flyweight,"Weightlifting, Men's 62 kg",36
189,2008 Summer_Russia_Athletics,Tatyana Sergeyevna Chernova,Anna Chicherova,71,Athletics Women's Heptathlon,"Athletics, Women's high jump",57
1521,2012 Summer_Russia_Athletics,Anisya Byasyrovna Kirdyapkina (Kornikova-),Sergey Kirdyapkin,71,Athletics Women's 20 kilometres Walk,"Athletics, Men's 50 km walk",57
5566,2012 Summer_Ukraine_Weightlifting,Oleksiy Pavlovych Torokhtiy,Oleksiy Torokhtiy,71,Weightlifting Men's Heavyweight,"Weightlifting, Men's 105 kg",48
5230,2012 Summer_Romania_Weightlifting,Roxana Daniela Coco,Roxana Cocoș,70,Weightlifting Women's Light-Heavyweight,"Weightlifting, Women's 69 kg",47
3290,1984 Summer_Finland_Athletics,Martti Olavi Vainio,Martti Vainio,69,"Athletics Men's 5,000 metres","Athletics, Men's 10,000 m",62
3178,2008 Summer_Russia_Wrestling,Khasan Makharbekovich Baroyev,Khasan Baroev,69,"Wrestling Men's Super-Heavyweight, Greco-Roman","Wrestling, Men's Greco-Roman 120 kg",59
64,2008 Summer_Russia_Athletics,Tatyana Valeryevna Andrianova,Tatyana Chernova,69,Athletics Women's 800 metres,"Athletics, Women's heptathlon",56
280,2008 Summer_Russia_Athletics,Tatyana Pavlovna Firova,Tatyana Chernova,69,Athletics Women's 400 metres,"Athletics, Women's heptathlon",56
78,2008 Summer_Russia_Athletics,Tatyana Alekseyevna Aryasova (Khmeleva-),Tatyana Lebedeva,69,"Athletics Women's 10,000 metres","Athletics, Women's triple jump",55
60,2008 Summer_Russia_Athletics,Tatyana Valeryevna Andrianova,Tatyana Lebedeva,69,Athletics Women's 800 metres,"Athletics, Women's triple jump",54
717,2008 Summer_Russia_Athletics,Tatyana Valeryevna Petrova-Arkhipova,Tatyana Lebedeva,69,"Athletics Women's 3,000 metres Steeplechase","Athletics, Women's triple jump",54
1717,2012 Summer_Russia_Athletics,Tatyana Viktorovna Lysenko (-Beloborodova),Tatyana Chernova,69,Athletics Women's Hammer Throw,"Athletics, Women's heptathlon",53
61,2008 Summer_Russia_Athletics,Tatyana Valeryevna Andrianova,Tatyana Lebedeva,69,Athletics Women's 800 metres,"Athletics, Women's long jump",51
862,2008 Summer_Russia_Athletics,Tatyana Valeryevna Sibileva,Tatyana Lebedeva,69,Athletics Women's 20 kilometres Walk,"Athletics, Women's long jump",51
5233,2012 Summer_Romania_Weightlifting,Rzvan Constantin Martin,Razvan Martin,69,Weightlifting Men's Lightweight,"Weightlifting, Men's 69 kg",50
568,2008 Summer_Russia_Athletics,Tatyana Romanovna Lebedeva,Tatyana Chernova,69,Athletics Women's Triple Jump,"Athletics, Women's heptathlon",49
861,2008 Summer_Russia_Athletics,Tatyana Valeryevna Sibileva,Tatyana Lebedeva,69,Athletics Women's 20 kilometres Walk,"Athletics, Women's triple jump",49
1695,2012 Summer_Russia_Athletics,Tatyana Romanovna Lebedeva,Tatyana Chernova,69,Athletics Women's Triple Jump,"Athletics, Women's heptathlon",49
289,2008 Summer_Russia_Athletics,Tatyana Pavlovna Firova,Tatyana Chernova,69,Athletics Women's 4 x 400 metres Relay,"Athletics, Women's heptathlon",48
1343,2012 Summer_Russia_Athletics,Tatyana Pavlovna Firova,Tatyana Chernova,69,Athletics Women's 4 x 400 metres Relay,"Athletics, Women's heptathlon",48
5495,1988 Summer_Bulgaria_Weightlifting,Mitko Todorov Grablev,Mitko Grablev,69,Weightlifting Men's Bantamweight,"Weightlifting, Men's 56 kg",48
79,2008 Summer_Russia_Athletics,Tatyana Alekseyevna Aryasova (Khmeleva-),Tatyana Lebedeva,69,"Athletics Women's 10,000 metres","Athletics, Women's long jump",47
205,2008 Summer_Russia_Athletics,Tatyana Valeryevna Dektyareva,Tatyana Lebedeva,69,Athletics Women's 100 metres Hurdles,"Athletics, Women's long jump",47
208,2008 Summer_Russia_Athletics,Tatyana Valeryevna Dektyareva,Tatyana Chernova,69,Athletics Women's 100 metres Hurdles,"Athletics, Women's heptathlon",45
865,2008 Summer_Russia_Athletics,Tatyana Valeryevna Sibileva,Tatyana Chernova,69,Athletics Women's 20 kilometres Walk,"Athletics, Women's heptathlon",45
1266,2012 Summer_Russia_Athletics,Tatyana Valeryevna Dektyareva,Tatyana Chernova,69,Athletics Women's 100 metres Hurdles,"Athletics, Women's heptathlon",45
204,2008 Summer_Russia_Athletics,Tatyana Valeryevna Dektyareva,Tatyana Lebedeva,69,Athletics Women's 100 metres Hurdles,"Athletics, Women's triple jump",44
3382,2012 Summer_Russia_Weightlifting,Aleksandr Konstantinovich Ivanov,Aleksandr Ivanov,69,Weightlifting Men's Middle-Heavyweight,"Weightlifting, Men's 94 kg",40
721,2008 Summer_Russia_Athletics,Tatyana Valeryevna Petrova-Arkhipova,Tatyana Chernova,69,"Athletics Women's 3,000 metres Steeplechase","Athletics, Women's heptathlon",39
718,2008 Summer_Russia_Athletics,Tatyana Valeryevna Petrova-Arkhipova,Tatyana Lebedeva,69,"Athletics Women's 3,000 metres Steeplechase","Athletics, Women's long jump",36
3221,2004 Summer_Russia_Weightlifting,Oleg Aleksandrovich Perepechonov,Oleg Perepetchenov,69,Weightlifting Men's Middleweight,"Weightlifting, Men's 77 kg",34
3394,2012 Summer_Russia_Weightlifting,Nadezhda Aleksandrovna Yevstyukhina,Aleksandr Ivanov,69,Weightlifting Women's Heavyweight,"Weightlifting, Men's 94 kg",33
3398,2012 Summer_Russia_Weightlifting,Nataliya Aleksandrovna Zabolotnaya,Aleksandr Ivanov,69,Weightlifting Women's Heavyweight,"Weightlifting, Men's 94 kg",33
3811,2004 Summer_Russia_Athletics,Svetlana Yevgenyevna Feofanova,Svetlana Krivelyova,68,Athletics Women's Pole Vault,"Athletics, Women's shot put (X)",61
3400,2012 Summer_Russia_Weightlifting,Nataliya Aleksandrovna Zabolotnaya,Natalya Zabolotnaya,68,Weightlifting Women's Heavyweight,"Weightlifting, Women's 75 kg",56
3965,2004 Summer_Russia_Athletics,Svetlana Viktorovna Sokolova,Svetlana Krivelyova,68,Athletics Women's Heptathlon,"Athletics, Women's shot put (X)",56
4792,2008 Summer_Belarus_Athletics,Nataliya Mikhaylovna Shimchuk,Natallia Mikhnevich,68,Athletics Women's Javelin Throw,"Athletics, Women's shot put",54
5262,2012 Summer_Georgia_Wrestling,"Davit ""Dato"" Marsagishvili",Davit Modzmanashvili,67,"Wrestling Men's Light-Heavyweight, Freestyle","Wrestling, Men's freestyle 120 kg",63
1688,2012 Summer_Russia_Athletics,Tatyana Romanovna Lebedeva,Tatyana Lysenko,67,Athletics Women's Triple Jump,"Athletics, Women's hammer throw",62
5077,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 5/5 kilometres Pursuit,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",62
5530,2008 Summer_North Korea_Shooting,Jo Yong-Suk,Kim Jong-su,67,"Shooting Women's Air Pistol, 10 metres","Shooting, Men's 50 m air pistol",62
5531,2008 Summer_North Korea_Shooting,Jo Yong-Suk,Kim Jong-su,67,"Shooting Women's Air Pistol, 10 metres","Shooting, Men's 10 m air pistol",62
1831,2012 Summer_Russia_Athletics,Tatyana Valeryevna Petrova-Arkhipova,Tatyana Lysenko,67,Athletics Women's Marathon,"Athletics, Women's hammer throw",61
1215,2012 Summer_Russia_Athletics,Tatyana Sergeyevna Chernova,Tatyana Lysenko,67,Athletics Women's Heptathlon,"Athletics, Women's hammer throw",58
2117,2012 Summer_Russia_Athletics,Tatyana Ivanovna Tomashova,Tatyana Lysenko,67,"Athletics Women's 1,500 metres","Athletics, Women's hammer throw",55
5203,2012 Summer_Kazakhstan_Weightlifting,Maiya Salakharovna Maneza,Maiya Maneza,67,Weightlifting Women's Middleweight,"Weightlifting, Women's 63 kg",55
5193,2012 Summer_Kazakhstan_Weightlifting,Zulfiya Salakharovna Chinshanlo,Zulfiya Chinshanlo,67,Weightlifting Women's Featherweight,"Weightlifting, Women's 53 kg",53
3483,2000 Summer_Romania_Gymnastics,Andreea Mdlina Rducan,Andreea Răducan,67,Gymnastics Women's Balance Beam,"Gymnastics, Women's artistic individual all-around",52
5070,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 30 kilometres,"Cross-Country Skiing, Women's 30 km classical",50
93,2008 Summer_Russia_Athletics,Yekaterina Eduardovna Bikert,Yekaterina Volkova,67,Athletics Women's 400 metres Hurdles,"Athletics, Women's 3000 m steeplechase",49
1259,2012 Summer_Russia_Athletics,Tatyana Valeryevna Dektyareva,Tatyana Lysenko,67,Athletics Women's 100 metres Hurdles,"Athletics, Women's hammer throw",48
5060,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 30 km classical",47
482,2008 Summer_Russia_Athletics,Mariya Ivanovna Konovalova (Pantyukhova-),Maria Abakumova,67,"Athletics Women's 10,000 metres","Athletics, Women's javelin throw",43
3480,2000 Summer_Romania_Gymnastics,Andreea Mdlina Rducan,Andreea Răducan,67,Gymnastics Women's Floor Exercise,"Gymnastics, Women's artistic individual all-around",43
5066,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 15 kilometres,"Cross-Country Skiing, Women's 15 km freestyle mass start",43
5532,2008 Summer_North Korea_Shooting,Jo Yong-Suk,Kim Jong-su,67,"Shooting Women's Sporting Pistol, 25 metres","Shooting, Men's 50 m air pistol",42
5533,2008 Summer_North Korea_Shooting,Jo Yong-Suk,Kim Jong-su,67,"Shooting Women's Sporting Pistol, 25 metres","Shooting, Men's 10 m air pistol",42
5269,2008 Summer_Armenia_Weightlifting,Edgar Gevorgyan,Tigran Gevorg Martirosyan,67,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 69 kg",41
5067,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 15 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",40
3481,2000 Summer_Romania_Gymnastics,Andreea Mdlina Rducan,Andreea Răducan,67,Gymnastics Women's Horse Vault,"Gymnastics, Women's artistic individual all-around",39
3482,2000 Summer_Romania_Gymnastics,Andreea Mdlina Rducan,Andreea Răducan,67,Gymnastics Women's Uneven Bars,"Gymnastics, Women's artistic individual all-around",39
3297,1992 Summer_Unified Team_Weightlifting,Ibragim Berkmanovich Samadov,Ibragim Samadov,67,Weightlifting Men's Light-Heavyweight,"Weightlifting, Men's 82.5 kg (X, Z)",36
5076,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 5/5 kilometres Pursuit,"Cross-Country Skiing, Women's 15 km freestyle mass start",36
5061,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 15 km freestyle mass start",35
5065,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 15 kilometres,"Cross-Country Skiing, Women's 30 km classical",34
5075,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 5/5 kilometres Pursuit,"Cross-Country Skiing, Women's 30 km classical",33
5062,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 10 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",32
5071,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 30 kilometres,"Cross-Country Skiing, Women's 15 km freestyle mass start",32
5072,2002 Winter_Russia_Cross Country Skiing,Larisa Yevgenyevna Lazutina (Ptitsyna-),Larisa Lazutina,67,Cross Country Skiing Women's 30 kilometres,"Cross-Country Skiing, Women's 5 km + 5 km combined pursuit",32
2522,2000 Summer_United States_Athletics,Lawrence Clayton Johnson,Marion Jones,67,Athletics Men's Pole Vault,"Athletics, Women's 100 m (X)",26
2523,2000 Summer_United States_Athletics,Lawrence Clayton Johnson,Marion Jones,67,Athletics Men's Pole Vault,"Athletics, Women's 200 m",21
2524,2000 Summer_United States_Athletics,Lawrence Clayton Johnson,Marion Jones,67,Athletics Men's Pole Vault,"Athletics, Women's long jump",18
